sample,spot,cage,sample_id,apo_sym,date_deployed,date_collected,treatment,Notes,Present_in_lab,survival_6.30.23,survival_7.5.23,survival_7.12.23,survival_7.19.23,survival_8.1.23,survival_8.9.23,survival_8.14.23,survival_8.23.23,survival_8.28.23,survival_9.6.23,survival_9.13.23,survival_9.20.23,survival_9.29.23,survival_10.3.23,survival_10.10.23,end_status,date_mortality,days_alive
78,D4,G1,G1-D4-78,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
73,A2,G2,G2-A2-73,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
200,A3,G2,G2-A3-200,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
193,A4,G2,G2-A4-193,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
106,B1,G2,G2-B1-106,APO,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
153,B2,G2,G2-B2-153,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
109,B3,G2,G2-B3-109,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
202,B4,G2,G2-B4-202,APO,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
84,C1,G2,G2-C1-84,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
157,C2,G2,G2-C2-157,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
172,C3,G2,G2-C3-172,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
57,C4,G2,G2-C4-57,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
203,D2,G2,G2-D2-203,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
177,D3,G2,G2-D3-177,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
34,D4,G2,G2-D4-34,SYM,2023.06.21,2023.10.09,control,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
154,A1,G4,G4-A1-154,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
216,A3,G4,G4-A3-216,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
151,A4,G4,G4-A4-151,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
17,B1,G4,G4-B1-17,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
232,B2,G4,G4-B2-232,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
155,B3,G4,G4-B3-155,APO,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
12,B4,G4,G4-B4-12,APO,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
162,C1,G4,G4-C1-162,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
42,C2,G4,G4-C2-42,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
72,C3,G4,G4-C3-72,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
134,C4,G4,G4-C4-134,SYM,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
6,D1,G4,G4-D1-6,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
189,D2,G4,G4-D2-189,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
138,D3,G4,G4-D3-138,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
40,D4,G4,G4-D4-40,SYM,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
107,A1,G5,G5-A1-107,APO,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
