sample,spot,cage,sample_id,Apo_Sym,Date_Deployed,Date_Collected,Notes,Present_in_lab,6.30.23,7.5.23,7.12.23,7.19.23,8.1.23,8.9.23,8.14.23,8.23.23,8.28.23,9.6.23,9.13.23,9.20.23,9.29.23,10.3.23,10.10.23
19,B3,G5,G5-B3-19,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
67,B4,G5,G5-B4-67,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
49,C1,G5,G5-C1-49,SYM,2023.06.21,2023.10.09,,NA,sick,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,sick,healthy
221,C2,G5,G5-C2-221,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
56,C3,G5,G5-C3-56,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
41,C4,G5,G5-C4-41,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
99,D1,G5,G5-D1-99,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,sick,sick,sick,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy
33,D2,G5,G5-D2-33,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
25,D3,G5,G5-D3-25,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
NA,D4,G5,G5-D4-NA,NA,NA,NA,NA,NA,healthy,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
16,NA,NA,NA,APO,2023.06.21,NA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,APO,2023.06.23,NA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,APO,2023.06.23,NA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,APO,2023.06.21,NA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,APO,2023.06.21,NA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,A1,S1,S1-A1-89,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
29,A2,S1,S1-A2-29,?,,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy
210,A3,S1,S1-A3-210,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
116,A4,S1,S1-A4-116,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
9,B1,S1,S1-B1-9,APO,2023.06.21,2023.10.09,,NA,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
224,B2,S1,S1-B2-224,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
18,B3,S1,S1-B3-18,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
208,B4,S1,S1-B4-208,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
